Experiment, Sample, Type,  Number of Nodes, Best Know Solution, Random route Solution, QBSolv classic, QBSolv classic full TSP, QB classic time 
135,ulysses22,TSP,22,7013,14809.61904761905,6653,6855,6.985046148300171
136,ulysses22,TSP,22,7013,14809.61904761905,6990,7192,6.677338361740112
137,ulysses22,TSP,22,7013,14809.61904761905,6822,7024,6.90664529800415
138,ulysses22,TSP,22,7013,14809.61904761905,6994,7196,6.409889459609985
139,ulysses22,TSP,22,7013,14809.61904761905,6866,7068,7.647164583206177
140,ulysses22,TSP,22,7013,14809.61904761905,6930,7132,7.324384450912476
141,ulysses22,TSP,22,7013,14809.61904761905,7138,7340,8.571974992752075
142,ulysses22,TSP,22,7013,14809.61904761905,6962,7164,7.62496280670166
143,ulysses22,TSP,22,7013,14809.61904761905,6510,6712,7.349535703659058
144,ulysses22,TSP,22,7013,14809.61904761905,6675,6877,6.661946773529053
145,ulysses22,TSP,22,7013,14809.61904761905,6927,7129,7.196113109588623
146,ulysses22,TSP,22,7013,14809.61904761905,6604,6806,7.236454010009766
147,ulysses22,TSP,22,7013,14809.61904761905,6821,7023,7.276796817779541
148,ulysses22,TSP,22,7013,14809.61904761905,6738,6940,7.710746765136719
149,ulysses22,TSP,22,7013,14809.61904761905,6854,7056,6.975558042526245
150,ulysses22,TSP,22,7013,14809.61904761905,7130,7332,6.678822755813599
151,ulysses22,TSP,22,7013,14809.61904761905,6800,7002,6.155855417251587
152,ulysses22,TSP,22,7013,14809.61904761905,6782,6984,8.662214756011963
153,ulysses22,TSP,22,7013,14809.61904761905,7169,7371,6.653034210205078
154,ulysses22,TSP,22,7013,14809.61904761905,6916,7118,6.761563301086426
155,ulysses22,TSP,22,7013,14809.61904761905,6721,6923,11.638737916946411
156,ulysses22,TSP,22,7013,14809.61904761905,7007,7209,7.424171209335327
157,ulysses22,TSP,22,7013,14809.61904761905,7314,7516,6.938093423843384
158,ulysses22,TSP,22,7013,14809.61904761905,6665,6867,14.965536117553711
159,ulysses22,TSP,22,7013,14809.61904761905,6767,6969,9.537578582763672
160,ulysses22,TSP,22,7013,14809.61904761905,6580,6782,9.336538314819336
161,ulysses22,TSP,22,7013,14809.61904761905,6485,6687,8.58712649345398
162,ulysses22,TSP,22,7013,14809.61904761905,6665,6867,8.554357290267944
163,ulysses22,TSP,22,7013,14809.61904761905,7134,7336,8.349754571914673
164,ulysses22,TSP,22,7013,14809.61904761905,6694,6896,12.136740446090698
165,ulysses22,TSP,22,7013,14809.61904761905,5867,6069,7.664490222930908
166,ulysses22,TSP,22,7013,14809.61904761905,6884,7086,9.32288908958435
167,ulysses22,TSP,22,7013,14809.61904761905,7121,7323,8.096933126449585
168,ulysses22,TSP,22,7013,14809.61904761905,6600,6802,10.506255865097046
169,ulysses22,TSP,22,7013,14809.61904761905,6925,7127,9.13849401473999
170,ulysses22,TSP,22,7013,14809.61904761905,6755,6957,10.630565404891968
171,ulysses22,TSP,22,7013,14809.61904761905,6783,6985,10.47685432434082
172,ulysses22,TSP,22,7013,14809.61904761905,7035,7237,8.489717960357666
173,ulysses22,TSP,22,7013,14809.61904761905,6584,6786,8.620275735855103
174,ulysses22,TSP,22,7013,14809.61904761905,7062,7264,6.7435431480407715
175,ulysses22,TSP,22,7013,14809.61904761905,6527,6729,6.07741904258728
176,ulysses22,TSP,22,7013,14809.61904761905,6722,6924,8.839295864105225
177,ulysses22,TSP,22,7013,14809.61904761905,6852,7054,6.685549020767212
178,ulysses22,TSP,22,7013,14809.61904761905,7054,7256,7.988795280456543
179,ulysses22,TSP,22,7013,14809.61904761905,6665,6867,6.557332754135132
180,ulysses22,TSP,22,7013,14809.61904761905,7164,7366,6.371906280517578
181,ulysses22,TSP,22,7013,14809.61904761905,6793,6995,6.8992438316345215
182,ulysses22,TSP,22,7013,14809.61904761905,6758,6960,9.614259243011475
183,ulysses22,TSP,22,7013,14809.61904761905,6934,7136,7.402187824249268
184,ulysses22,TSP,22,7013,14809.61904761905,7366,7568,6.3422205448150635
