Experiment, Sample, Type,  Number of Nodes, Best Know Solution, Random route Solution, QBSolv classic, QBSolv classic full TSP, QB classic time 
370,gr21,TSP,21,2707,7641.6,3490,3870,8.778237342834473
371,gr21,TSP,21,2707,7641.6,3567,3947,7.247721195220947
372,gr21,TSP,21,2707,7641.6,3718,4098,17.99942708015442
373,gr21,TSP,21,2707,7641.6,3522,3902,12.76308798789978
374,gr21,TSP,21,2707,7641.6,3169,3549,13.786954164505005
375,gr21,TSP,21,2707,7641.6,3847,4227,8.823575973510742
376,gr21,TSP,21,2707,7641.6,3597,3977,12.047369480133057
377,gr21,TSP,21,2707,7641.6,3524,3904,8.329989910125732
378,gr21,TSP,21,2707,7641.6,3590,3970,9.339757442474365
379,gr21,TSP,21,2707,7641.6,3682,4062,8.97119665145874
380,gr21,TSP,21,2707,7641.6,3590,3970,14.644630193710327
381,gr21,TSP,21,2707,7641.6,3550,3930,12.663086891174316
382,gr21,TSP,21,2707,7641.6,3553,3933,11.597908020019531
383,gr21,TSP,21,2707,7641.6,3838,4218,14.885846138000488
384,gr21,TSP,21,2707,7641.6,3867,4247,11.258348226547241
385,gr21,TSP,21,2707,7641.6,3636,4016,9.53967022895813
386,gr21,TSP,21,2707,7641.6,3747,4127,9.921597957611084
387,gr21,TSP,21,2707,7641.6,3929,4309,11.167020559310913
388,gr21,TSP,21,2707,7641.6,3419,3799,11.629180431365967
389,gr21,TSP,21,2707,7641.6,3622,4002,11.742027044296265
390,gr21,TSP,21,2707,7641.6,4058,4438,7.596026659011841
391,gr21,TSP,21,2707,7641.6,3460,3840,15.252521753311157
392,gr21,TSP,21,2707,7641.6,3705,4085,7.099247694015503
393,gr21,TSP,21,2707,7641.6,3561,3941,7.346952199935913
394,gr21,TSP,21,2707,7641.6,3880,4260,6.863136291503906
395,gr21,TSP,21,2707,7641.6,3549,3929,7.5859479904174805
396,gr21,TSP,21,2707,7641.6,3578,3958,7.364832878112793
397,gr21,TSP,21,2707,7641.6,3852,4232,11.299007654190063
398,gr21,TSP,21,2707,7641.6,3800,4180,6.487275838851929
399,gr21,TSP,21,2707,7641.6,3130,3510,7.060954570770264
400,gr21,TSP,21,2707,7641.6,3676,4056,8.437290668487549
